"序号","代码","名称","最新价","涨跌额","涨跌幅","成交量","成交额","总市值","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅%","市盈率","换手率%","涨跌速率%","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"45","BMGL","Basel Medical","1.790","-0.055","-2.98%","176723","318762","33626492.5","1.700","2.040","70","200","1.830","1.845","1.880","1.750","0.98","-48.15%","7.05","20.813","2.92","0.56","0.56%","-9.60%","-11.39%","-5.79%","-13.11%","-60.71%","-55.25%","-55.25%","医疗保健设施"
"46","HUT","Hut 8","36.240","-1.140","-3.05%","9566531","348346310","3824332110.72","33.330","35.350","100","4","37.100","37.380","37.620","35.630","1.45","92.31%","5.32","10.882","11.37","-0.04","-1.33%","11.71%","42.79%","69.58%","107.68%","209.22%","217.06%","76.87%","资本市场"
"47","CANG","灿谷","4.450","-0.170","-3.68%","1136965","5045374","788830246.8","4.330","4.500","300","100","4.600","4.620","4.650","4.340","2.71","50.00%","6.71","12.258","1.32","0.23","0.34%","-2.84%","-11.71%","-5.12%","2.30%","13.23%","181.65%","1.14%","资本市场"
"48","MIGI","Mawson Infrastructure","0.4020","-0.0180","-4.33%","147463","60829","8373879.173","0.3280","0.4700","100","100","0.4110","0.4200","0.4400","0.4010","0.49","0.00%","9.29","-0.155","0.86","-0.28","0.17%","-0.57%","32.14%","-6.39%","-3.90%","-20.46%","-68.12%","-51.77%","资本市场"
"49","DFDV","DeFi Development","16.930","-0.820","-4.62%","2866953","48670409","429576774.86","16.000","16.150","100","205","17.250","17.750","17.580","16.620","1.11","-34.43%","5.41","-60.681","15.56","0.71","1.20%","-3.75%","13.17%","1.93%","-10.23%","2054.73%","2195.28%","2340.99%","软件基础设施"
"50","SQNS","Sequans Communications","9.840","-0.490","-4.74%","319793","3161369","141031219.44","9.370","9.470","100","200","9.850","10.330","10.120","9.713","0.15","-33.33%","3.94","0.492","2.51","-0.20","-0.05%","-1.01%","14.23%","-0.16%","-34.40%","-52.47%","-60.25%","-71.81%","半导体"
"51","NCTY","第九城市","9.910","-0.510","-4.89%","158972","1577563","139358205.62","9.070","10.500","100","125","10.430","10.420","10.750","9.600","1.98","-11.11%","11.04","-4.701","3.89","-1.51","0.00%","-3.88%","2.64%","27.38%","25.44%","-29.01%","50.11%","-31.84%","资本市场"
"52","ABTC","American Bitcoin","7.110","-0.370","-4.95%","4478996","32524017","6460061675.4","6.950","7.030","1","35","7.480","7.480","7.497","7.100","0.68","-94.44%","5.31","-711.000","2.56","-0.56","-1.52%","-9.89%","-3.92%","19.50%","73.27%","763.39%","170.65%","254.88%","资本市场"
"53","AMBR","Amber International Holding","3.940","-0.210","-5.06%","157376","636330","369110724.5","3.480","4.320","100","100","4.000","4.150","4.230","3.900","1.32","0.00%","7.95","-13.133","0.64","0.63","-0.38%","-4.83%","-1.01%","-19.43%","-63.65%","-67.28%","32.66%","-57.91%","软件基础设施"
"54","CAN","嘉楠科技","0.7780","-0.0420","-5.06%","56039011","43914603","365072116.567","0.7340","0.7500","1448","6863","0.8200","0.8200","0.8210","0.7650","2.06","-65.15%","6.77","-0.846","12.88","1.10","-0.51%","-5.58%","10.27%","17.94%","27.15%","-14.52%","-29.87%","-62.03%","计算机硬件"
"55","NAKA","Kindly MD","1.400","-0.090","-6.04%","42497074","60337316","529379629.8","1.350","1.390","468","900","1.490","1.490","1.550","1.360","0.73","-31.58%","12.75","-2.333","11.96","-0.00","-0.71%","-49.64%","-65.69%","-86.83%","-90.08%","-26.32%","10.02%","12.90%","医疗保健设施"
"56","GAME","GameSquare","0.7250","-0.0500","-6.47%","6504297","4735688","71734382.662","0.7000","0.7200","200","2950","0.7700","0.7750","0.7790","0.7000","2.28","-87.30%","10.15","-0.414","7.55","2.63","1.36%","2.20%","4.14%","-7.28%","-3.24%","16.87%","-19.48%","-12.19%","电子游戏与多媒体"
"57","BTM","Bitcoin Depot","3.660","-0.260","-6.63%","1166456","4372252","249178758.48","3.650","3.900","9","2200","3.920","3.920","3.950","3.660","1.61","-99.19%","7.40","-6.100","4.93","0.13","-1.21%","-6.87%","3.98%","-4.94%","-31.59%","152.41%","133.12%","125.93%","资本市场"
"58","AEHL","羚羊控股","3.590","-0.270","-6.99%","150958","546764","18567745.66","3.260","3.590","6","145","3.790","3.860","3.790","3.460","0.21","-92.05%","8.55","-0.112","3.12","-0.83","-1.85%","8.46%","-4.52%","8.79%","32.47%","-6.51%","-91.20%","-60.65%","建筑产品与设备"
"59","TAOX","Tao Synergies","5.830","-0.440","-7.02%","311705","1838201","20330067.01","5.500","6.400","100","100","6.200","6.270","6.200","5.750","1.27","0.00%","7.18","-0.530","9.16","0.51","0.34%","-6.12%","-5.82%","-9.61%","54.64%","117.54%","78.83%","68.01%","软件基础设施"
"60","BTOG","Bit Origin","0.4180","-0.0420","-9.04%","6002258","2562394","37395973.186","0.3750","0.4490","100","100","0.4360","0.4600","0.4610","0.4000","1.08","0.00%","13.26","-0.125","6.83","1.09","0.94%","-3.82%","26.79%","0.58%","150.09%","98.76%","-85.06%","-57.31%","金融数据与证券交易所"
"61","MPU","Mega Matrix","1.450","-0.150","-9.38%","3825492","5709384","83512812.35","1.370","1.720","100","100","1.610","1.600","1.610","1.430","1.84","0.00%","11.25","-6.304","7.42","-0.34","-0.34%","-7.64%","-18.08%","-46.30%","47.96%","130.16%","16.00%","4.32%","娱乐"
"62","CWD","CaliberCos","6.810","-0.780","-10.28%","912533","6436710","28225298.04","6.720","7.580","11","100","7.520","7.590","7.579","6.610","0.12","-80.18%","12.77","-0.378","25.41","-1.02","-0.58%","-11.21%","227.40%","290.26%","109.54%","-42.78%","-47.05%","-51.29%","资产管理"
